P, Iterations, IO Time, Iteration time, Time per iteration, Gather time
  1  1301 0.1301579 1.2164321 0.0009350 0.0006759
  2  1301 0.0702062 0.6550212 0.0005035 0.0018091
  4  1301 0.1273460 0.3550770 0.0002729 0.0020099
  8  1301 0.0767820 0.1846950 0.0001420 0.0019841
 16  1301 0.0752139 0.0986578 0.0000758 0.0023470
 24  1301 0.0753632 0.0709460 0.0000545 0.0024710
 48  1301 0.0861778 0.0601082 0.0000462 0.0030129
  1  1301 0.0641279 1.2113519 0.0009311 0.0006540
  2  1301 0.0679729 0.6802299 0.0005229 0.0018749
  4  1301 0.0942690 0.3554749 0.0002732 0.0019109
  8  1301 0.0768418 0.1832819 0.0001409 0.0021060
 16  1301 0.0748951 0.0984750 0.0000757 0.0024760
 24  1301 0.0757031 0.0708740 0.0000545 0.0023019
 48  1301 0.0801132 0.0474381 0.0000365 0.0027471
  1  1301 0.0643320 1.2172298 0.0009356 0.0006540
  2  1301 0.0692642 0.6505291 0.0005000 0.0017581
  4  1301 0.0732532 0.3586431 0.0002757 0.0018809
  8  1301 0.0761740 0.1832800 0.0001409 0.0020649
 16  1301 0.0760059 0.0985138 0.0000757 0.0022960
 24  1301 0.0752809 0.0710490 0.0000546 0.0022829
 48  1301 0.0804679 0.0554700 0.0000426 0.0030332
  1  1301 0.0651691 1.2155499 0.0009343 0.0006568
  2  1301 0.0756779 0.6516249 0.0005009 0.0017760
  4  1301 0.0724130 0.3569071 0.0002743 0.0018589
  8  1301 0.0761600 0.1843252 0.0001417 0.0020730
 16  1301 0.0750570 0.0991321 0.0000762 0.0024340
 24  1301 0.0749278 0.0712371 0.0000548 0.0022700
 48  1301 0.0844378 0.0644860 0.0000496 0.0027461
  1  1301 0.0652659 1.2215860 0.0009390 0.0006928
  2  1301 0.0693731 0.6549201 0.0005034 0.0018010
  4  1301 0.0735040 0.3565781 0.0002741 0.0020232
  8  1301 0.0762072 0.1826200 0.0001404 0.0020499
 16  1301 0.0750589 0.0991092 0.0000762 0.0024529
 24  1301 0.0748332 0.0712030 0.0000547 0.0022609
 48  1301 0.0799251 0.0591769 0.0000455 0.0031309
