P, Iterations, IO Time, Iteration time, Time per iteration, Gather time
  1  1501 0.0509980 0.4692891 0.0003127 0.0002229
  2  1501 0.0245881 0.2296469 0.0001530 0.0006061
  4  1501 0.0255311 0.1282899 0.0000855 0.0006390
  8  1501 0.0278161 0.0761750 0.0000507 0.0008910
 16  1501 0.0281279 0.0425069 0.0000283 0.0009949
 48  1501 0.0331838 0.0325089 0.0000217 0.0012970
  1  1501 0.0229738 0.4665830 0.0003108 0.0002139
  2  1501 0.0249429 0.2309139 0.0001538 0.0006189
  4  1501 0.0258639 0.1278460 0.0000852 0.0006440
  8  1501 0.0285850 0.0773120 0.0000515 0.0008450
 16  1501 0.0268571 0.0421412 0.0000281 0.0008709
 48  1501 0.0333650 0.0605781 0.0000404 0.0026221
  1  1501 0.0231380 0.4693010 0.0003127 0.0002170
  2  1501 0.0247359 0.2307751 0.0001537 0.0006111
  4  1501 0.0264881 0.1282279 0.0000854 0.0006731
  8  1501 0.0279629 0.0771689 0.0000514 0.0009019
 16  1501 0.0271111 0.0423970 0.0000282 0.0010641
 48  1501 0.0353591 0.0282781 0.0000188 0.0020809
  1  1501 0.0243840 0.4835870 0.0003222 0.0002520
  2  1501 0.0243771 0.2309740 0.0001539 0.0006132
  4  1501 0.0259681 0.1284220 0.0000856 0.0006981
  8  1501 0.0277171 0.0762460 0.0000508 0.0009139
 16  1501 0.0280490 0.0420339 0.0000280 0.0010691
 48  1501 0.0331371 0.0444660 0.0000296 0.0012660
  1  1501 0.0230711 0.4667141 0.0003109 0.0002210
  2  1501 0.0243580 0.2312539 0.0001541 0.0005622
  4  1501 0.0258081 0.1281800 0.0000854 0.0007181
  8  1501 0.1558821 0.0766611 0.0000511 0.0007999
 16  1501 0.0274000 0.0413589 0.0000276 0.0011151
 48  1501 0.0354519 0.0437410 0.0000291 0.0010760
