P, Iterations, IO Time, Iteration time, Time per iteration, Gather time
  1  1101 0.1260629 0.0806990 0.0000733 0.0000582
  2  1101 0.0084620 0.0451260 0.0000410 0.0001881
  4  1101 0.0090189 0.0242848 0.0000221 0.0002341
  8  1101 0.0098610 0.0168900 0.0000153 0.0003560
 16  1101 0.0093789 0.0145700 0.0000132 0.0003140
 48  1101 0.0219779 0.1455090 0.0001322 0.0050251
  1  1101 0.0111439 0.0805578 0.0000732 0.0000570
  2  1101 0.0086300 0.0454822 0.0000413 0.0001988
  4  1101 0.0083699 0.0244861 0.0000222 0.0002432
  8  1101 0.0088909 0.0170050 0.0000154 0.0003579
 16  1101 0.0109739 0.0152130 0.0000138 0.0003259
 48  1101 0.0193481 0.0369599 0.0000336 0.0015149
  1  1101 0.0078821 0.0812879 0.0000738 0.0000570
  2  1101 0.0081201 0.0454850 0.0000413 0.0001991
  4  1101 0.0085990 0.0245111 0.0000223 0.0002329
  8  1101 0.0088890 0.0168819 0.0000153 0.0003450
 16  1101 0.0098391 0.0146980 0.0000133 0.0004799
 48  1101 0.0172601 0.2701881 0.0002454 0.0071180
  1  1101 0.0076840 0.0806170 0.0000732 0.0000582
  2  1101 0.0081680 0.0458322 0.0000416 0.0001988
  4  1101 0.0081239 0.0244632 0.0000222 0.0002341
  8  1101 0.0090752 0.0167730 0.0000152 0.0003929
 16  1101 0.0100870 0.0133119 0.0000121 0.0005040
 48  1101 0.0165708 0.0402122 0.0000365 0.0012460
  1  1101 0.0079081 0.0806072 0.0000732 0.0000579
  2  1101 0.0083241 0.0456572 0.0000415 0.0001981
  4  1101 0.0081029 0.0241690 0.0000220 0.0002310
  8  1101 0.0478711 0.0171311 0.0000156 0.0004010
 16  1101 0.0092330 0.0146830 0.0000133 0.0004590
 48  1101 0.0152180 0.0611560 0.0000555 0.0030229
